,DATE,BAMLH0A0HYM2
20,2000-01-31,4.87
41,2000-02-29,5.08
64,2000-03-31,5.75
85,2000-04-30,5.88
108,2000-05-31,6.16
130,2000-06-30,6.17
151,2000-07-31,6.26
174,2000-08-31,6.43
196,2000-09-30,6.77
218,2000-10-31,7.79
240,2000-11-30,9.06
262,2000-12-31,9.16
285,2001-01-31,7.87
305,2001-02-28,7.7
328,2001-03-31,8.18
349,2001-04-30,8.06
372,2001-05-31,7.68
394,2001-06-30,8.16
416,2001-07-31,8.27
439,2001-08-31,8.05
460,2001-09-30,10.18
483,2001-10-31,9.61
505,2001-11-30,8.39
526,2001-12-31,8.24
549,2002-01-31,7.89
569,2002-02-28,8.19
591,2002-03-31,7.08
613,2002-04-30,6.88
636,2002-05-31,7.28
657,2002-06-30,8.75
680,2002-07-31,9.71
703,2002-08-31,9.61
724,2002-09-30,10.33
747,2002-10-31,10.59
769,2002-11-30,8.83
791,2002-12-31,8.9
814,2003-01-31,8.29
834,2003-02-28,8.38
855,2003-03-31,7.72
877,2003-04-30,6.44
900,2003-05-31,6.79
921,2003-06-30,6.13
944,2003-07-31,5.67
966,2003-08-31,5.46
988,2003-09-30,5.51
1011,2003-10-31,4.73
1032,2003-11-30,4.48
1055,2003-12-31,4.18
1078,2004-01-31,4.05
1099,2004-02-29,4.34
1122,2004-03-31,4.41
1144,2004-04-30,3.91
1165,2004-05-31,4.28
1187,2004-06-30,4.1
1210,2004-07-31,4.02
1232,2004-08-31,4.06
1254,2004-09-30,3.83
1276,2004-10-31,3.63
1298,2004-11-30,3.17
1321,2004-12-31,3.1
1342,2005-01-31,3.29
1362,2005-02-28,2.83
1385,2005-03-31,3.52
1407,2005-04-30,4.19
1429,2005-05-31,4.13
1451,2005-06-30,3.85
1473,2005-07-31,3.3
1496,2005-08-31,3.66
1518,2005-09-30,3.54
1539,2005-10-31,3.61
1561,2005-11-30,3.67
1584,2005-12-31,3.71
1606,2006-01-31,3.42
1626,2006-02-28,3.37
1649,2006-03-31,3.13
1670,2006-04-30,3.04
1693,2006-05-31,3.12
1715,2006-06-30,3.35
1736,2006-07-31,3.45
1759,2006-08-31,3.49
1781,2006-09-30,3.44
1803,2006-10-31,3.29
1825,2006-11-30,3.2
1847,2006-12-31,2.89
1870,2007-01-31,2.72
1890,2007-02-28,2.82
1913,2007-03-31,2.85
1934,2007-04-30,2.74
1957,2007-05-31,2.46
1979,2007-06-30,2.98
2001,2007-07-31,4.19
2024,2007-08-31,4.55
2045,2007-09-30,4.2
2068,2007-10-31,4.36
2090,2007-11-30,5.75
2111,2007-12-31,5.92
2134,2008-01-31,6.95
2155,2008-02-29,7.67
2176,2008-03-31,8.21
2198,2008-04-30,6.86
2221,2008-05-31,6.53
2242,2008-06-30,7.35
2265,2008-07-31,8.0
2287,2008-08-31,8.36
2309,2008-09-30,10.96
2332,2008-10-31,16.17
2353,2008-11-30,19.88
2376,2008-12-31,18.12
2399,2009-01-31,16.26
2420,2009-02-28,17.38
2442,2009-03-31,17.03
2464,2009-04-30,13.45
2486,2009-05-31,11.7
2508,2009-06-30,10.55
2531,2009-07-31,9.22
2552,2009-08-31,9.12
2574,2009-09-30,7.93
2597,2009-10-31,7.6
2618,2009-11-30,7.65
2641,2009-12-31,6.39
2663,2010-01-31,6.54
2684,2010-02-28,6.71
2707,2010-03-31,5.84
2729,2010-04-30,5.61
2750,2010-05-31,6.98
2772,2010-06-30,7.13
2795,2010-07-31,6.59
2817,2010-08-31,6.92
2839,2010-09-30,6.26
2861,2010-10-31,5.93
2883,2010-11-30,6.22
2906,2010-12-31,5.41
2927,2011-01-31,5.08
2947,2011-02-28,4.78
2970,2011-03-31,4.77
2992,2011-04-30,4.76
3014,2011-05-31,5.09
3036,2011-06-30,5.42
3058,2011-07-31,5.58
3081,2011-08-31,7.3
3103,2011-09-30,8.41
3124,2011-10-31,7.07
3146,2011-11-30,7.79
3169,2011-12-31,7.23
3191,2012-01-31,6.61
3212,2012-02-29,5.98
3235,2012-03-31,5.99
3256,2012-04-30,6.04
3279,2012-05-31,6.96
3301,2012-06-30,6.44
3323,2012-07-31,6.16
3346,2012-08-31,5.98
3367,2012-09-30,5.74
3390,2012-10-31,5.63
3412,2012-11-30,5.65
3433,2012-12-31,5.34
3456,2013-01-31,4.95
3476,2013-02-28,4.98
3498,2013-03-31,4.86
3520,2013-04-30,4.55
3543,2013-05-31,4.62
3564,2013-06-30,5.21
3587,2013-07-31,4.71
3608,2013-08-29,4.76
3630,2013-09-30,4.83
3653,2013-10-31,4.36
3675,2013-11-30,4.27
3697,2013-12-31,4.0
3720,2014-01-31,4.21
3740,2014-02-28,3.81
3761,2014-03-31,3.77
3783,2014-04-30,3.71
3806,2014-05-31,3.67
3827,2014-06-30,3.53
3850,2014-07-31,4.04
3872,2014-08-31,3.84
3894,2014-09-30,4.4
3917,2014-10-31,4.3
3938,2014-11-30,4.67
3961,2014-12-31,5.04
3984,2015-01-31,5.26
4005,2015-02-28,4.46
4027,2015-03-31,4.82
4049,2015-04-30,4.59
4071,2015-05-31,4.58
4093,2015-06-30,5.0
