time,DRTSCIS,BAMLH0A0HYM2,UNRATE
2000-1-01,9.4,4.87,4.0
2000-10-01,27.3,7.79,3.9
2000-11-01,,9.06,3.9
2000-12-01,,9.16,3.9
2000-2-01,,5.08,4.1
2000-3-01,,5.75,4.0
2000-4-01,21.4,5.88,3.8
2000-5-01,,6.16,4.0
2000-6-01,,6.17,4.0
2000-7-01,23.6,6.26,4.0
2000-8-01,,6.43,4.1
2000-9-01,,6.77,3.9
2001-1-01,45.5,7.87,4.2
2001-10-01,40.4,9.61,5.3
2001-11-01,,8.39,5.5
2001-12-01,,8.24,5.7
2001-2-01,,7.7,4.2
2001-3-01,,8.18,4.3
2001-4-01,36.4,8.06,4.4
2001-5-01,,7.68,4.3
2001-6-01,,8.16,4.5
2001-7-01,31.6,8.27,4.6
2001-8-01,,8.05,4.9
2001-9-01,,10.18,5.0
2002-1-01,41.8,7.89,5.7
2002-10-01,18.2,10.59,5.7
2002-11-01,,8.83,5.9
2002-12-01,,8.9,6.0
2002-2-01,,8.19,5.7
2002-3-01,,7.08,5.7
2002-4-01,14.5,6.88,5.9
2002-5-01,,7.28,5.8
2002-6-01,,8.75,5.8
2002-7-01,5.5,9.71,5.8
2002-8-01,,9.61,5.7
2002-9-01,,10.33,5.7
2003-1-01,13.8,8.29,5.8
2003-10-01,-1.8,4.73,6.0
2003-11-01,,4.48,5.8
2003-12-01,,4.18,5.7
2003-2-01,,8.38,5.9
2003-3-01,,7.72,5.9
2003-4-01,12.7,6.44,6.0
2003-5-01,,6.79,6.1
2003-6-01,,6.13,6.3
2003-7-01,3.5,5.67,6.2
2003-8-01,,5.46,6.1
2003-9-01,,5.51,6.1
2004-1-01,-10.9,4.05,5.7
2004-10-01,-18.2,3.63,5.5
2004-11-01,,3.17,5.4
2004-12-01,,3.1,5.4
2004-2-01,,4.34,5.6
2004-3-01,,4.41,5.8
2004-4-01,-19.3,3.91,5.6
2004-5-01,,4.28,5.6
2004-6-01,,4.1,5.6
2004-7-01,-3.6,4.02,5.5
2004-8-01,,4.06,5.4
2004-9-01,,3.83,5.4
2005-1-01,-13.0,3.29,5.3
2005-10-01,-5.3,3.61,5.0
2005-11-01,,3.67,5.0
2005-12-01,,3.71,4.9
2005-2-01,,2.83,5.4
2005-3-01,,3.52,5.2
2005-4-01,-24.1,4.19,5.2
2005-5-01,,4.13,5.1
2005-6-01,,3.85,5.0
2005-7-01,-11.1,3.3,5.0
2005-8-01,,3.66,4.9
2005-9-01,,3.54,5.0
2006-1-01,-7.1,3.42,4.7
2006-10-01,-1.9,3.29,4.4
2006-11-01,,3.2,4.5
2006-12-01,,2.89,4.4
2006-2-01,,3.37,4.8
2006-3-01,,3.13,4.7
2006-4-01,-7.0,3.04,4.7
2006-5-01,,3.12,4.6
2006-6-01,,3.35,4.6
2006-7-01,-1.8,3.45,4.7
2006-8-01,,3.49,4.7
2006-9-01,,3.44,4.5
2007-1-01,5.4,2.72,4.6
2007-10-01,9.6,4.36,4.7
2007-11-01,,5.75,4.7
2007-12-01,,5.92,5.0
2007-2-01,,2.82,4.5
2007-3-01,,2.85,4.4
2007-4-01,1.9,2.74,4.5
2007-5-01,,2.46,4.4
2007-6-01,,2.98,4.6
2007-7-01,7.7,4.19,4.7
2007-8-01,,4.55,4.6
2007-9-01,,4.2,4.7
2008-1-01,30.4,6.95,5.0
2008-10-01,74.5,16.17,6.5
2008-11-01,,19.88,6.8
2008-12-01,,18.12,7.3
2008-2-01,,7.67,4.9
2008-3-01,,8.21,5.1
2008-4-01,51.8,6.86,5.0
2008-5-01,,6.53,5.4
2008-6-01,,7.35,5.6
2008-7-01,65.4,8.0,5.8
2008-8-01,,8.36,6.1
2008-9-01,,10.96,6.1
2009-1-01,69.2,16.26,7.8
2009-10-01,16.1,7.6,10.0
2009-11-01,,7.65,9.9
2009-12-01,,6.39,9.9
2009-2-01,,17.38,8.3
2009-3-01,,17.03,8.7
2009-4-01,42.3,13.45,9.0
2009-5-01,,11.7,9.4
2009-6-01,,10.55,9.5
2009-7-01,34.0,9.22,9.5
2009-8-01,,9.12,9.6
2009-9-01,,7.93,9.8
2010-1-01,3.7,6.54,9.8
2010-10-01,-7.1,5.93,9.4
2010-11-01,,6.22,9.8
2010-12-01,,5.41,9.3
2010-2-01,,6.71,9.8
2010-3-01,,5.84,9.9
2010-4-01,0.0,5.61,9.9
2010-5-01,,6.98,9.6
2010-6-01,,7.13,9.4
2010-7-01,-9.1,6.59,9.4
2010-8-01,,6.92,9.5
2010-9-01,,6.26,9.5
2011-1-01,-1.9,5.08,9.1
2011-10-01,-6.3,7.07,8.8
2011-11-01,,7.79,8.6
2011-12-01,,7.23,8.5
2011-2-01,,4.78,9.0
2011-3-01,,4.77,9.0
2011-4-01,-13.5,4.76,9.1
2011-5-01,,5.09,9.0
2011-6-01,,5.42,9.1
2011-7-01,-7.8,5.58,9.0
2011-8-01,,7.3,9.0
2011-9-01,,8.41,9.0
2012-1-01,1.9,6.61,8.3
2012-10-01,-7.6,5.63,7.8
2012-11-01,,5.65,7.7
2012-12-01,,5.34,7.9
2012-2-01,,5.98,8.3
2012-3-01,,5.99,8.2
2012-4-01,-1.8,6.04,8.2
2012-5-01,,6.96,8.2
2012-6-01,,6.44,8.2
2012-7-01,-4.9,6.16,8.2
2012-8-01,,5.98,8.1
2012-9-01,,5.74,7.8
2013-1-01,-7.7,4.95,8.0
2013-10-01,-7.1,4.36,7.2
2013-11-01,,4.27,6.9
2013-12-01,,4.0,6.7
2013-2-01,,4.98,7.7
2013-3-01,,4.86,7.5
2013-4-01,-23.1,4.55,7.6
2013-5-01,,4.62,7.5
2013-6-01,,5.21,7.5
2013-7-01,-10.0,4.71,7.3
2013-8-01,,4.76,7.2
2013-9-01,,4.83,7.2
2014-1-01,-4.2,4.21,6.6
2014-10-01,-8.2,4.3,5.7
2014-11-01,,4.67,5.8
2014-12-01,,5.04,5.6
2014-2-01,,3.81,6.7
2014-3-01,,3.77,6.7
2014-4-01,-7.0,3.71,6.2
2014-5-01,,3.67,6.3
2014-6-01,,3.53,6.1
2014-7-01,-8.3,4.04,6.2
2014-8-01,,3.84,6.1
2014-9-01,,4.4,5.9
2015-1-01,-5.7,5.26,5.7
2015-10-01,1.5,5.9,5.0
2015-11-01,,6.4,5.1
2015-12-01,,6.95,5.0
2015-2-01,,4.46,5.5
2015-3-01,,4.82,5.4
2015-4-01,-1.4,4.59,5.4
2015-5-01,,4.58,5.6
2015-6-01,,5.0,5.3
2015-7-01,-6.0,5.36,5.2
2015-8-01,,5.7,5.1
2015-9-01,,6.62,5.0
2016-1-01,4.2,7.77,4.8
2016-10-01,-1.5,4.91,4.9
2016-11-01,,4.67,4.7
2016-12-01,,4.22,4.7
2016-2-01,,7.75,4.9
2016-3-01,,7.05,5.0
2016-4-01,5.8,6.21,5.1
2016-5-01,,5.97,4.8
2016-6-01,,6.21,4.9
2016-7-01,7.1,5.69,4.8
2016-8-01,,5.1,4.9
2016-9-01,,4.97,5.0
2017-1-01,0.0,4.0,4.7
2017-10-01,-8.8,3.51,4.1
2017-11-01,,3.61,4.2
2017-12-01,,3.63,4.1
2017-2-01,,3.74,4.6
2017-3-01,,3.92,4.4
2017-4-01,-2.9,3.81,4.5
2017-5-01,,3.74,4.4
2017-6-01,,3.77,4.3
2017-7-01,-4.1,3.61,4.3
2017-8-01,,3.85,4.4
2017-9-01,,3.56,4.2
2018-1-01,0.0,3.29,4.0
2018-10-01,-3.1,3.81,3.8
2018-11-01,,4.29,3.8
2018-12-01,,5.33,3.9
2018-2-01,,3.47,4.1
2018-3-01,,3.72,4.0
2018-4-01,-3.0,3.46,4.0
2018-5-01,,3.63,3.8
2018-6-01,,3.71,4.0
2018-7-01,-7.6,3.46,3.8
2018-8-01,,3.49,3.8
2018-9-01,,3.28,3.7
2019-1-01,4.3,4.37,4.0
2019-10-01,5.6,4.15,3.6
2019-11-01,,4.02,3.6
2019-12-01,,3.6,3.6
2019-2-01,,3.92,3.8
2019-3-01,,4.05,3.8
2019-4-01,0.0,3.73,3.7
2019-5-01,,4.59,3.7
2019-6-01,,4.07,3.6
2019-7-01,-5.8,3.93,3.6
2019-8-01,,4.13,3.7
2019-9-01,,4.02,3.5
2020-1-01,-1.4,4.03,3.5
2020-10-01,31.3,5.32,6.9
2020-11-01,,4.33,6.7
2020-12-01,,3.86,6.7
2020-2-01,,5.06,3.5
2020-3-01,,8.77,4.4
2020-4-01,39.7,7.63,14.8
2020-5-01,,6.54,13.3
2020-6-01,,6.44,11.1
2020-7-01,70.0,5.16,10.2
2020-8-01,,5.02,8.4
2020-9-01,,5.41,7.8
